RC NUMBER,COMPANY NAME,ADDRESS
285232,. A BOLA NIG. TRADING,"6B, RAFU BARUNA STR , LAGOS,LAGOS"
575666,. A. A MOJISOLA LURKY BAKERY,"CS/5 OKE-OJA STR,IKARE , AKURE,ONDO"
299791,. F. IGBALAJOBI & SONS,"6, SALAWU ST.,OSHODI , IKEJA,LAGOS"
653203,. NZEKU ENTERPRISES,"36 AGEGE MOTOR RD,MOSALASI , S/LERE,LAGOS"
791477,. O . OVENSERI ( NIG. ) ENTERPRISES,"NO. 28, BURAIMAH STREET,OLODI APAPA , LAGOS,LAGOS"
304207,. O. ASUOHA & SONS,"13, ODUSANYA ST.,OLODI APAPA , LAGOS,LAGOS"
329180,. O. EKEZIE ELECT. (NIG) CO.,"55 VENN RD., SOUTH,ONITSHA, , ,ANAMBRA"
481615,. YEKINNI ITAAJE [NIG] COMPANY,"1 LEASUN AVENUE,ITA AJE QTRS , ARAMOKO,EKITI"
443198,.A. ADEBIOPON NIG ENTERPRISES,"30, BROAD STR , ,LAGOS"
374904,.A. ANSO & SONS ENTS,"16, ADELEYE STR,SARI-ELEMU-IGANMU , S/LERE,LAGOS"
427255,.A. OLAITAN & SONS,"151, LEDB SHOP AKANNI STR , ,LAGOS"
669129,.A. OLATUNJI NIG ENTERPRISES,"141-142,OYADIRAN EST,SABO YABA , ,LAGOS"
771602,.A.SAID NIG ENTERPRISES,"13, ALH OTITKORO STR,,IKOTUEGBE , ,LAGOS"
1259662,.AMSOCH MULTI SERVICES LTD,8 WOSHI ST AKWAKA RUMUODUMAYA
443566,.B. O. SHONOLA & COMPANY,"13, OREDEIN LANE,OSHODI , ,LAGOS"
333473,.C. NORUWA ENTS,"49, IGUN STR , B/CITY,EDO"
453232,.F. ANIMASHAUN ELECTRICAL WK,"15, RAMOTU STR,MAKOKO -YABA , LAGOS,LAGOS"
321304,.GRE - SCOPIOWAY (NIG) ENTS.,"TIME INSURANCE BUILDINGS, I. AWOYOKUN ST,,IKORODU RD, , ,LAGOS"
466389,.H. A. GBENRO & SONS,"10, ELIASAU STR,MAFOLUKU-OSHODI , ,LAGOS"
402301,.I. JOAK TECH COMPANY,"21, SHANUSI STR,SHOMOLU , ,LAGOS"
771498,.I. NWADIGO ENTER NIGERIA,"2, ADEYEMO CLOSE,M.M. INTER AIRPORT R , IKEJA,LAGOS"
425163,.J.O. ELESHO NIG ENTERPRISES,"1, AKINBIYI STR,,IDI-ORO , MUSHIN,LAGOS"
516913,.JAMES AYODELE & CO,"5 SHYLLON STR , P/GROVE,LAGOS"
647923,.K.K KAZE RESTURANT,"60 ODUDUWA ST SURU-LERE , LAGOS,LAGOS"
454311,.L ADISA SHOBALAJE ENTS,"5, IKOLABA STR , OSOGBO,OYO"
513319,.L. A. N. CATERING SER,"36, NEW MARKET RD , ONITSHA,ANAMBRA"
512101,.L. A. O. F. P. AGENCY,"103, UPPER SOKPONBA , B/CITY,EDO"
388669,.M EVANS ELEC. CONTRACTOR & STORES,"20 RAMLAT TIMSQON ST OFF ADEBOLA OJOMU ST AGUDA S , SUR/L,LAGOSA"
517448,.M. OKESOLA GEN AGENCY,"19, ALABI STR,PEDRO , SHOMOLU,LAGOS"
1256733,.MEGA METUSCHI MULTI NIGERIA LTD,15 FED. RD OWERRI
405408,.MIDDY -MO ENTS.,"11/13 ADARANIJO ST,PEDRO , PALMGROVE,LAGOS"
714705,.N.D. IBIYEMI & COMPANY,"PLOT 5, ADEYOMO ALAKIYA STR,,V/ISLAND , ,LAGOS"
771641,".O,M. ZEB, ENTERPRISES","1,ASHOGBON LANE,IDUMOTA , ,LAGOS"
498035,.O. A. JIADAYO NIG ENTERPRISES,"11, OLORUNWA STR,,ILASAMAJA , ,LAGOS"
457019,.O. AYOOLA NIG ENT,"ILE EJENWA AIYEGUNLE RD ILA ORANGUN OYO , ,OYO"
443751,.O. KAB NIG COY,"SW7/333, IMALEFALAFIA STR,OKE-ADO , IBADAN,OYO"
478726,.O. MIKOG NIG ENTERPRISES,"40, ANIFOWSE STR,,SHOMOLU , ,LAGOS"
498145,.O. N. AKUMA & SONS NIG,"5, MATHAN STR,,S/LERE , ,LAGOS"
498972,.O..B.M. FALCON NIG ENTERPRISES,"SW9/868C, VICTORY CRES,,FATIMO RD , IBADAN,OYO"
735872,.O.A. ADEKUNLE ENTERPRISES,"4, KUGBA RD, , ABEOKUTA,OGUN"
498513,.O.C. JOSEPH NIG COMPANY,"2, FRANCIS STR,,ONITSHA , ,ANAMBRA"
961611,.O.G. THECK SPORTIVE,"AREA E, BLK 100, RM34,,NYANYA , ABUJA,FCT"
582566,.O.O.OSOSANYA & COMPANY,"33, OYADIRAN STR,OYADIRAN ESTATE , YABA,LAGOS"
498958,.O.T. ADEBIMPE NIG ENTERPRISES,"42, MUYIBI STR,,ARAROMI APAPA , ,LAGOS"
910607,.S. A. ALUKO (NIG) ENTS.,"77, YORUBA RD.,SAPELE , ,DELTA"
730417,.S. ESIRE & COMPANY,"OKUMAFGBA AVE,,BY SOMA AMEH HOSP , WARRI,DELTA"
430035,.S. SOFENWA ENTS,"33, LAGOS STR,E/M , LAGOS,LAGOS"
347009,.S.A. FASSY NIG ENTS,"5A, WILLIAMS STR , LAGOS,LAGOS"
2028556,AA & B VENTURES,"NO120,POWERLINEJANKARA,,IJAIYE,,LAGOS."
911867,AA & O GLOBAL LINKS LTD,"NO 7 TOYIN STREET IKEJA LAGOS , LAGOS ,LAGOS"
886480,AA & S INTEGRATED ENGINEERING SERVICES LTD,"BLK19FLT2GASHUWACLOSEAREA8,ABUJA,FCT"
675301,AA - EXCHANGE NIGERIA LIMITED,"27OBAFEMIAWOLOWOWAYIKEJA,LAGOS,LAGOS"
411300,AA -KKAYZ RESOURCES LTD,"41,CREEKRD.,,APAPA,LAGOS"
886316,AA ADENEKAN LIMITED,"NO 68 OLABISI NANA ST , IJEGUN ,LAGOS"
602244,AA AND A CONSULTING LIMITED,"1LEKANADELEKESTREET,IBADAN,OYO"
489144,AA AND A RUAF LIMITED,"NO.7JIBRINBALAROAD,,SULEJA,NIGER"
652546,AA AND I FOODS LIMITED,"BLOCK80,FLAT2,,ABUJA,FCT"
428688,AA AND I LIMITED,"3,TRANSAMUSEMENTPARKROAD,IBADAN,OYO"
465301,AA AND K MARINE SERVICES LIMITED,"34,VICTORSTR.,,CALABAR,C/RIVER"
93860,AA AND M AGENCY NIGERIA LIMITED,"43, AREMU-OLA TOBOSUN STR., IKEJA , LAGOS ,LAGOS"
2080258,AA AND P VENTURES,"15,OYEMADESTREET,SANTOSESTATELAYOUT,,DOPEMU,,LAGOSSTATE."
465304,AA AND T INTERNATIONAL LIMITED,"NO.16,AGBELESTREET,,IGBOGBO,LAGOS"
294788,AA ASO VENTURES LIMITED,"6CATHOLICMISSIONSTR.,,LAGOS,LAGOS"
790274,AA BOSS COMMUNICATION LTD,"SUITEA04MAITAMAshoppingcomplexmaitama,abuja,fct"
666798,AA BOSS GLOBAL CONCEPTS LTD,"NO2,DURBANSTREETWUSEII,ABUJA,FCT"
790253,AA BOSS TRAVELERS AGENCY LTD,"14MARRAKESHSTREET,WUSEII,ABUJA,FCT"
622789,AA CONSULTANTS LIMITED,"NO.2,ADEBODUNWILLIAMSOGUDUGRA,LAGOS,LAGOS"
2047081,AA DATA RESOURCES VENTURES,"14/16,SANNIADEWALESTREET,,LAGOSISLAND,,LAGOS."
609763,AA EE CONCEPTS INTERNATIONAL LIMITED,"ZONEBBLOCK2ASHOP40ASPAMDALAGOSINTTRADEFAIR,LAGOS,LAGOS"
762702,AA EFOSA GLOBAL INVESTMENTS LIMITED,"NO.3EFOSALANEOGBESONQUARTERS,BENIN,EDO"
808491,AA ENTERTAINMENT AND TOURISM LIMITED,"112,FUNSHOWILLIAMSAVENUESURULERE,LAGOS,LAGOS"
2018502,AA ETTEA VENTURES,"KM1,GANAJAEXPRESSWAY,LOKOJA,,KOGI."
2104654,AA FIDELITY VENTURES,"SHOP1,LAFIAJISUPPLIERSASSOCIATIONOFFICE,ETI-OSALOCALGOVERNMENTAREA,,LEKKI,LAGOS"
753649,AA FINANCIAL PLANNING SERVICES LIMITED,"PLOT4BLOCKIVCHILDANDWORLDAVENUEABULEEGBA,LAGOS,LAGOS"
819250,AA FIRST LOGISTICS NIGERIA LIMITED,"NO.17,BEIRUTROAD,,KANO,KANO"
610526,AA INTEGRATED COMMUNICATION LIMITED,"NO.2,KULTUMESHOPPINGCOMPLEX,HOTORO,KANO"
908175,AA INTERIORS LIMITED,"1B 2 ROAD, HOUSE 23, FHA LUGBE , ABUJA ,FCT"
359917,AA INVEST. LTD,"30,OLAKUNLESELESICRES.,AJAOEST.,,OSHODI,LAGOS"
2000718,AA KOLA ENTERPRISES,"NO.127B,F.H.KUBWA,,ABUJA,F.C.T"
227737,AA MAGNIFICAT VENTURES NIGERIA LTD,"9 ADEBO OJO STREET, ELEYELE , IBADAN ,OYO"
2016804,AA MANAGEMENT TUTORS,"NO.16A,OKOAWOCLOSE(NEAREKOHOTEL&SUITES),VICTORIAISLAND,,LAGOS."
777214,AA MULTI SERVICES LIMITED,"NO48ABDUNZAGIROAD,SOKOTO,SOKOTO"
709997,AA MULTIPLE GLOBAL RESOURCES LTD,"4,AMOOSTREET,OKE-KOTO,AGEGE,LAGOS"
836751,AA NAILS AND FURNITURE COMPANY LIMITED,"NO18A,SINARIDARINAJOSTREET,V/ISLAND,LAGOS,LAGOS"
2107531,AA NEDD SOLICITORS,"32,OPEBIROAD,,IKEJA,,LAGOS,"
640852,AA NET TRANSACTIONS NIGERIA LIMITED,"NO.1,AIRPORTESTATEOFFABAROADRUMUOMASI,PORTHARCOURT,RIVERS"
2080487,AA OGUNDARE & CO,"30,COMMERCIALROAD,,APAPA,,LAGOS."
180364,AA P NIGERIA LIMITED,"83, BABALAYI , MAIDUGURI ,BORNO"
371664,AA PETROLEUM SERVICES COMPANY NIGERIA LIMITED,"22,CHIEFJAMESIKEGWURUSTREET,R/OKWUT,PORTHARCOURT,RIVERS"
2064900,AA PLUS SCHOLAS VENTURES,"39,SOLOMONOKONKWOSTREET,UNITYESTATE,,EGBEDA,,LAGOSSTATE."
775063,AA SECURITY TECHNOLOGY LIMITED,"51ALH.LAWALSTREETAGBADO,LAGOS,LAGOS"
339420,AA SHAIBU NIG LTD,"PLOT5,OTUKPOROADALIADEGWER,ALIADE,BENUE"
860182,AA SUITES AND APARTMENTS LIMITED,"333RDAVENUEANKPA,ANKPA,KOGI"
879328,AA SULTAN GLOBAL RESOURCES LTD,"NO1,GARAMBWARIROAD,TAFA,ABUJA,FCT"
456520,AA THOMAS NIGERIA LIMITED,"71KOLABALOGUNSTREET,ELEWURA,IBADAN,OYO"
293696,AA TYRE CENTRE LIMITED,"NO.6,CATHOLICMISSIONSTREET,LAGOS,LAGOS"
865256,AAA ALH. AHMIDU ANGWA LIMITED,"NO3,IMAMAYENUCLOSEANGWA,KOGI,KOGI"
729420,AAA ALUMINIUM & ALLIED SERVICES LIMITED,"NO.3,LOKOJA-AJAOKUTAROADGANAJAJUNCTION,LOKOJA,KOGI"
778260,AAA AND ECJ NIGERIA LIMITED,"PLOT1368HAKEEMAGBOOLACRESCENTLAKEVIEWESTATE,LAGOS,LAGOS"
752770,AAA AND SONS NIGERIA LIMITED,"LD4,HALIRUAKILUROADTUDUWADA,KADUNA,KADUNA"
1016970,AAA BITS CONSULTING LIMITED,"9,OLOWUSTREET,LAGOSISLAND,LAGOS"
2039092,AAA CONSULT,"NO.11,ADENIJISTREET,OPPOSITECOUNTYHOSPITALS,OGBA,,IKEJA,,LAGOS."
490040,AAA DIKE AND CO. LTD,"19,DIKESTREET,AWKA,ANAMBRA"
1171032,AAA ENERGY AND MANAGEMENT CONSULT LTD,"37,LIBREVILLESTREET,OFFAMINUKANOCRESCENT,WUSEII,,ABUJA,ABUJA"
2214277,AAA EVENTS & DESIGN,"HOUSE12,23CRESCENT,G-CLOSE,EFABESTATE,LIFECAMP,,ABUJA,,F.C.T."
958315,AAA FARM AND TECHNOLOGIES NIG LTD,"FLAT2,PLOT21,PHASEAA2LAYOUTKUJE,ABUJA,FCT"
995051,AAA GALLERIES LIMITED,"27 KAGORO CLOSE, TUDUN WADA, KADUNA, KADUNA"
2177733,AAA HORIZONS VENTURES,"PLOT3,3X4,BLOCK4,ADABALELAYOUT,MOLADE,IWOROAD,,IBADAN,,OYO."
1022640,AAA IMAGING & DISTRIBUTION SERVICES LTD,"8OLUWOLEOMOLESTOFFTOYINSTIKEJA,LAGOS,LAGOS"
794973,AAA IMAGING SOLUTIONS LIMITED,"NO.3,BOMPAIROAD,OPPOSITECENTRALHOTEL,,KANO,KANO"
651682,AAA INFOTEK LIMITED,"10,IBESHEROAD,IKORODU,LAGOS,LAGOS"
2220665,AAA LAW FIRM,"202/204,BORNOWAY,EBUTEMETTA,YABA,LAGOS"
131844,AAA LIMITED,"79, AIRPORT RD., EFFURUN , EFFURUN ,DELTA"
926536,AAA LINLIA TOTAL CONSTRUCTION CO LTD,"NO 29, LAGOS STREET , OWERRI ,IMO"
393395,AAA LOGISTICS LIMITED,"IJABITACLOSEIKOYI,,IKOYI,,LAGOS"
32286,AAA MAINTENANCE LIMITED,"10 MACARTHY STREET , LAGOS ,LAGOS"
1075942,AAA N DEMI UNIVERSAL INVESTMENT LTD,"NO138ROAD411FHAKUBWA,ABUJA,FCT"
